area_geografica,numero_personas
Mundo,
Mundo/Unión Europea,
Mundo/Europa No Comunitaria,
Mundo/Africa,
Mundo/América,
Mundo/Asia,
Mundo/Oceanía,
Mundo/Unión Europea/Alemania,10087
Mundo/Unión Europea/Bulgaria,30894
Mundo/Unión Europea/Francia,18874
Mundo/Unión Europea/Italia,3211
Mundo/Unión Europea/Polonia,5859
Mundo/Unión Europea/Portugal,20916
Mundo/Unión Europea/Reino Unido,3583
Mundo/Unión Europea/Rumania,145718
Mundo/Unión Europea/Otros,7094
Mundo/Europa No Comunitaria/Rusia,3285
Mundo/Europa No Comunitaria/Ucrania,7274
Mundo/Europa No Comunitaria/Otros,10836
Mundo/Africa/Argelia,8043
Mundo/Africa/Marruecos,80882
Mundo/Africa/Nigeria,2511
Mundo/Africa/Senegal,5253
Mundo/Africa/Otros,17952
Mundo/América/Argentina,14043
Mundo/América/Bolívia,12220
Mundo/América/Brasil,11941
Mundo/América/Colombia,40892
Mundo/América/Cuba,9331
Mundo/América/Chile,3696
Mundo/América/Ecuador,37056
Mundo/América/Paraguay,5082
Mundo/América/Perú,15399
Mundo/América/Rep. Dominicana,20836
Mundo/América/Uruguay,2968
Mundo/América/Venezuela,8373
Mundo/América/Otros,19899
Mundo/Asia/China,15170
Mundo/Asia/Pakistán,6983
Mundo/Asia/Otros,5341
Mundo/Oceanía/Oceanía,524
